,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
42,2002-01-01,9033564.822357168,19603272.14573915,19719109.74621879,9033564.822357168,9033564.822357168,10627368.398375085,10627368.398375085,10627368.398375085,10627368.398375085,10627368.398375085,10627368.398375085,0.0,0.0,0.0,19660933.220732253
43,2003-01-01,9272803.189000478,19832606.580530763,19952514.58443298,9272803.189000478,9272803.189000478,10619386.466908773,10619386.466908773,10619386.466908773,10619386.466908773,10619386.466908773,10619386.466908773,0.0,0.0,0.0,19892189.65590925
44,2004-01-01,9531765.403768286,20063625.196948886,20181492.989418883,9531765.403768286,9531765.403768286,10592109.690283861,10592109.690283861,10592109.690283861,10592109.690283861,10592109.690283861,10592109.690283861,0.0,0.0,0.0,20123875.094052147
45,2005-01-01,9791437.104056008,20352361.871453505,20465948.986553065,9791437.104056008,9791437.104056008,10615442.869509691,10615442.869509691,10615442.869509691,10615442.869509691,10615442.869509691,10615442.869509691,0.0,0.0,0.0,20406879.973565698
46,2006-01-01,10050819.105123488,20619278.77942867,20740355.624464728,10050819.105123488,10050819.105123488,10627368.398376135,10627368.398376135,10627368.398376135,10627368.398376135,10627368.398376135,10627368.398376135,0.0,0.0,0.0,20678187.503499623
47,2007-01-01,10310201.106190963,20866179.19204731,20987192.971445933,10310201.106190963,10310201.106190963,10619386.466906888,10619386.466906888,10619386.466906888,10619386.466906888,10619386.466906888,10619386.466906888,0.0,0.0,0.0,20929587.57309785
48,2008-01-01,10671370.596837273,21202703.273757722,21326070.929307166,10671370.596837273,10671370.596837273,10592109.690283088,10592109.690283088,10592109.690283088,10592109.690283088,10592109.690283088,10592109.690283088,0.0,0.0,0.0,21263480.28712036
49,2009-01-01,11033529.592937402,21592126.917059276,21705217.912170876,11033529.592937402,11033529.592937402,10615442.869512973,10615442.869512973,10615442.869512973,10615442.869512973,10615442.869512973,10615442.869512973,0.0,0.0,0.0,21648972.462450378
50,2010-01-01,11394699.083583709,21965608.18008468,22080381.329811912,11394699.083583709,11394699.083583709,10627368.398375496,10627368.398375496,10627368.398375496,10627368.398375496,10627368.398375496,10627368.398375496,0.0,0.0,0.0,22022067.481959205
51,2011-01-01,11755868.574230019,22315429.787977554,22434444.775165837,11755868.574230019,11755868.574230019,10619386.466910563,10619386.466910563,10619386.466910563,10619386.466910563,10619386.466910563,10619386.466910563,0.0,0.0,0.0,22375255.041140582
52,2012-01-01,12117038.064876325,22649890.490460012,22773502.11189481,12117038.064876325,12117038.064876325,10592109.690284692,10592109.690284692,10592109.690284692,10592109.690284692,10592109.690284692,10592109.690284692,0.0,0.0,0.0,22709147.755161017
53,2013-01-01,12479197.060976455,23036967.328487433,23155036.16593772,12479197.060976455,12479197.060976455,10615442.869514722,10615442.869514722,10615442.869514722,10615442.869514722,10615442.869514722,10615442.869514722,0.0,0.0,0.0,23094639.93049118
54,2014-01-01,12840366.551622765,23406308.0798958,23531792.782038398,12840366.551622765,12840366.551622765,10627368.398374626,10627368.398374626,10627368.398374626,10627368.398374626,10627368.398374626,10627368.398374626,0.0,0.0,0.0,23467734.94999739
