LOCATION,TIME,broad_money_growth_%
BLZ,1980,12.77817735
BLZ,1981,8.887574402
BLZ,1982,6.159813941
BLZ,1983,18.46180908
BLZ,1984,4.367605073
BLZ,1985,8.473129406
BLZ,1986,18.69887678
BLZ,1987,21.37360871
BLZ,1988,4.329402028
BLZ,1989,13.9449927
BLZ,1990,15.15165228
BLZ,1991,10.0971901
BLZ,1992,12.97350877
BLZ,1993,3.274556745
BLZ,1994,8.379969782
BLZ,1995,18.19332676
BLZ,1996,7.581511305
BLZ,1997,11.53919717
BLZ,1998,5.88380293
BLZ,1999,15.76710687
BLZ,2000,12.41811044
BLZ,2001,10.20251255
BLZ,2002,2.937078448
BLZ,2003,4.930646561
BLZ,2004,13.15310489
BLZ,2005,6.573512756
BLZ,2006,16.47508291
BLZ,2007,15.37110392
BLZ,2008,13.27888197
BLZ,2009,6.4341557
BLZ,2010,-0.114401925
BLZ,2011,5.280858503
BLZ,2012,11.00887861
BLZ,2013,1.35295281
BLZ,2014,7.893315257
BLZ,2015,7.561501148
BLZ,2016,2.649079163
BLZ,2017,-0.368487043
BLZ,2018,2.651893883
BLZ,2019,4.641267782
BLZ,2020,0
BEN,1960,0
BEN,1961,0
BEN,1962,0
BEN,1963,3.58974359
BEN,1964,1.155115512
BEN,1965,0.326264274
BEN,1966,5.040650407
BEN,1967,-2.167182663
BEN,1968,15.49050633
BEN,1969,17.18043568
BEN,1970,17.24541097
BEN,1971,22.28759473
BEN,1972,13.32463508
BEN,1973,6.397064115
BEN,1974,24.77343433
BEN,1975,72.6868665
BEN,1976,-3.854483819
BEN,1977,13.99562535
BEN,1978,11.73893121
BEN,1979,4.41858677
BEN,1980,48.94332491
BEN,1981,24.31568366
BEN,1982,30.49207275
